postcodes_id,zone_id,postcode_range_start,postcode_range_end,postcode_name,status
258,13,WC1N,WC1N,WC1N,1
259,13,WC1R,WC1R,WC1R,1
260,13,WC1V,WC1V,WC1V,1
261,13,WC1X,WC1X,WC1X,1
262,13,WC2A,WC2A,WC2A,1
263,13,WC2B,WC2B,WC2B,1
264,13,WC2E,WC2E,WC2E,1
265,13,WC2H,WC2H,WC2H,1
266,13,WC2R,WC2R,WC2R,1
267,13,EC1A,EC1A,EC1A,1
268,13,EC1M,EC1M,EC1M,1
269,13,EC1N,EC1N,EC1N,1
270,13,EC1R,EC1R,EC1R,1
271,13,EC1V,EC1V,EC1V,1
272,13,EC1Y,EC1Y,EC1Y,1
273,13,EC2A,EC2A,EC2A,1
274,13,EC2M,EC2M,EC2M,1
275,13,EC2N,EC2N,EC2N,1
276,13,EC2R,EC2R,EC2R,1
277,13,EC2V,EC2V,EC2V,1
278,13,EC2Y,EC2Y,EC2Y,1
279,13,EC3A,EC3A,EC3A,1
280,13,EC3V,EC3V,EC3V,1
281,13,EC4A,EC4A,EC4A,1
282,13,EC4M,EC4M,EC4M,1
283,13,EC4N,EC4N,EC4N,1
284,13,EC4R,EC4R,EC4R,1
285,13,EC4V,EC4V,EC4V,1
286,13,EC4Y,EC4Y,EC4Y,1
287,13,SE11,SE11,SE11,1
288,13,RM2,RM2,RM2,1
289,13,RM1,RM1,RM1,1
290,14,WC2,WC2,WC2,1
291,14,EC1,EC1,EC1,1
292,14,EC2,EC2,EC2,1
293,14,EC3,EC3,EC3,1
294,14,EC4,EC4,EC4,1
295,14,SW1A,SW1A,SW1A,1
296,14,SW1E,SW1E,SW1E,1
297,14,SW1H,SW1H,SW1H,1
298,14,SW1P,SW1P,SW1P,1
299,14,SW1V,SW1V,SW1V,1
300,14,SW1W,SW1W,SW1W,1
301,14,SW1X,SW1X,SW1X,1
302,14,SW1Y,SW1Y,SW1Y,1
303,14,W1B,W1B,W1B,1
304,14,W1C,W1C,W1C,1
305,14,W1D,W1D,W1D,1
306,14,W1F,W1F,W1F,1
307,14,W1G,W1G,W1G,1
308,14,W1H,W1H,W1H,1
309,14,W1J,W1J,W1J,1
310,14,W1K,W1K,W1K,1
311,14,W1S,W1S,W1S,1
312,14,W1T,W1T,W1T,1
313,14,W1U,W1U,W1U,1
314,14,W1W,W1W,W1W,1
315,14,WC1A,WC1A,WC1A,1
316,14,WC1B,WC1B,WC1B,1
317,14,WC1E,WC1E,WC1E,1
318,14,WC1H,WC1H,WC1H,1
319,14,WC1N,WC1N,WC1N,1
320,14,WC1R,WC1R,WC1R,1
321,14,WC1V,WC1V,WC1V,1
322,14,WC1X,WC1X,WC1X,1
323,14,WC2A,WC2A,WC2A,1
324,14,WC2B,WC2B,WC2B,1
325,14,WC2E,WC2E,WC2E,1
326,14,WC2H,WC2H,WC2H,1
327,14,WC2R,WC2R,WC2R,1
328,14,EC1A,EC1A,EC1A,1
329,14,EC1M,EC1M,EC1M,1
330,14,EC1N,EC1N,EC1N,1
331,14,EC1R,EC1R,EC1R,1
332,14,EC1V,EC1V,EC1V,1
333,14,EC1Y,EC1Y,EC1Y,1
334,14,EC2A,EC2A,EC2A,1
335,14,EC2M,EC2M,EC2M,1
336,14,EC2N,EC2N,EC2N,1
337,14,EC2R,EC2R,EC2R,1
338,14,EC2V,EC2V,EC2V,1
339,14,EC2Y,EC2Y,EC2Y,1
340,14,EC3A,EC3A,EC3A,1
341,14,EC3V,EC3V,EC3V,1
342,14,EC4A,EC4A,EC4A,1
343,14,EC4M,EC4M,EC4M,1
344,14,EC4N,EC4N,EC4N,1
345,14,EC4R,EC4R,EC4R,1
346,14,EC4V,EC4V,EC4V,1
347,14,EC4Y,EC4Y,EC4Y,1
348,14,SE11,SE11,SE11,1
349,14,RM2,RM2,RM2,1
350,14,RM1,RM1,RM1,1
351,15,EC1,EC1,EC1,1
352,15,EC2,EC2,EC2,1
353,15,EC3,EC3,EC3,1
354,15,EC4,EC4,EC4,1
355,15,SW1A,SW1A,SW1A,1
356,15,SW1E,SW1E,SW1E,1
357,15,SW1H,SW1H,SW1H,1
358,15,SW1P,SW1P,SW1P,1
